"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"1057","AUDI","TT","COUPE 3PTAS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO",2017,"STRONIC","Gasolina",4,230,2,"AUTOS DE LUJO",12,17.7,14.03,10.53,222,41,6,"6"
"1058","AUDI","A6","4PTAS 2.0L 4CIL 252HP STRONIC QUATTRO FSI TURBO",2016,"STRONIC","Gasolina",4,252,2,"AUTOS DE LUJO",12,17,13.83,10.37,225,9,6,"9"
"1059","AUDI","TT","COUPE 3PTAS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO",2016,"STRONIC","Gasolina",4,230,2,"AUTOS DE LUJO",12,17.7,14.03,10.53,222,41,6,"6"
"1060","MERCEDES","E 200","COUPE 2PTAS 2.0L 4CIL 184HP TURBO AUT",2018,"AUT","Gasolina",4,184,2,"AUTOS DE LUJO",11.9,17.54,15.31,11.48,203,48,7,"?"
"1061","BMW","120iA","3PTS 2.0L 4CIL 156HP AUT STRONIC",2011,"AUT","Gasolina",4,156,2,"AUTOS DE LUJO",11.9,19.61,15.85,11.89,196,19,7,"?"
"1062","BMW","120iA","5PTS 2.0L 4CIL 156HP AUT STRONIC",2011,"AUT","Gasolina",4,156,2,"AUTOS DE LUJO",11.9,19.61,15.85,11.89,196,19,7,"?"
"1063","NISSAN","ALTIMA","4PTS 3.5L 6CIL 270HP CVT",2013,"CVT","Gasolina",6,270,3.5,"AUTOS DE LUJO",11.9,18.4,14.15,10.61,220,23,6,"7"
"1064","NISSAN","ALTIMA","4PTS 3.5L 6CIL 201HP AUT",2014,"AUT","Gasolina",6,201,3.5,"AUTOS DE LUJO",11.9,18.4,14.15,10.61,220,23,6,"7"
"1065","NISSAN","ALTIMA","4PTS 3.5L 6CIL 201HP AUT",2015,"AUT","Gasolina",6,201,3.5,"AUTOS DE LUJO",11.9,18.4,14.15,10.61,220,23,6,"7"
"1066","MERCEDES","CLA250","CGI COUPE 4PTS 2.0L 4CIL 208HP AUT TURBO",2014,"AUT","Gasolina",4,208,2,"AUTOS DE LUJO",11.9,20,15.95,11.96,195,29,7,"?"
