"","Marca","Submarca","Versión","Modelo","Trans.","Comb.","Cilindros","Potencia..HP.","Tamaño..L.","Categoría","R..Ciudad..km.l.","R..Carr...km.l.","R..Comb...km.l.","R..Ajust...km.l.","CO2.g.km.","NOx..g.1000km.","Calificación.Gas.Ef..Inv.","Calificación.Contam..Aire"
"2796","DODGE","CHALLENGER","SRT-8 2PTS 6.4L 8CIL 470HP AUT",2013,"AUT","Gasolina",8,470,6.4,"AUTOS DEPORTIVOS",6.95,12.58,8.7,6.53,357,21,1,"7"
"2797","DODGE","CHALLENGER","R/T 2PTS 5.7L 8CIL 372HP AUT",2014,"AUT","Gasolina",8,372,5.7,"AUTOS DEPORTIVOS",6.9,12.09,8.55,6.41,364,12,1,"9"
"2798","DODGE","CHALLENGER","SRT-8 2PTS 6.4L 8CIL 470HP AUT",2014,"AUT","Gasolina",8,470,6.4,"AUTOS DEPORTIVOS",6.85,10.6,8.15,6.11,382,25,0,"6"
"2799","DODGE","CHALLENGER","SUPERCHARGED SRT 2PTAS 6.2L 8CIL 707HP AUT",2016,"AUT","Gasolina",8,707,6.2,"AUTOS DEPORTIVOS",6.57,12.21,8.29,6.22,375,31,0,"6"
"2800","CHEVROLET","CAMARO","ZL1 COUPE 2PTAS 6.2L 8CIL 650HP AUT",2018,"AUT","Gasolina",8,650,6.2,"AUTOS DEPORTIVOS",6.5,11.48,8.08,6.06,385,9,0,"9"
"2801","CHEVROLET","CAMARO","ZL1 CONVERTIBLE 2PTAS 6.2L 8CIL 650HP SUPERCARGADO AUT",2018,"AUT","Gasolina",8,650,6.2,"AUTOS DEPORTIVOS",6.5,11.48,8.08,6.06,385,9,0,"9"
"2802","CHEVROLET","CAMARO","2PTAS 6.2L 8CIL 650HP AUT SUPERCARGADO",2017,"AUT","Gasolina",8,650,6.2,"AUTOS DEPORTIVOS",6.42,11.18,7.94,5.96,392,8,0,"9"
"2803","PORSCHE","911","CARRERA 2 COUPÉ 2PTS 3.6L 6CIL 345HP MAN",2011,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.21,12.35,9.26,6.95,336,13,2,"?"
"2804","PORSCHE","911","CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 345HP MAN",2011,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.21,12.35,9.26,6.95,336,13,2,"?"
"2805","PORSCHE","911","CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 350HP MAN",2012,"MAN","Gasolina",6,350,3.6,"AUTOS DEPORTIVOS",6.21,12.35,9.26,6.95,336,13,2,"?"
"2806","PORSCHE","911","CARRERA 2 COUPE 2PTS 3.6L 6CIL 350HP MAN",2012,"MAN","Gasolina",6,350,3.6,"AUTOS DEPORTIVOS",6.21,12.35,9.26,6.95,336,13,2,"?"
"2807","PORSCHE","911","TURBO COUPÉ 2PTS 3.8L 6CIL 500HP MAN QUATTRO",2013,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.1,12.32,9.15,6.86,340,33,2,"?"
"2808","PORSCHE","911","TURBO CABRIOLET 2PTS 3.8L 6CIL 500HP MAN QUATTRO",2013,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.1,12.32,9.15,6.86,340,33,2,"?"
"2809","CHEVROLET","CAMARO","ZL1 COUPE 2PTS 6.2L 8CIL 580HP AUT",2013,"AUT","Gasolina",8,580,6.2,"AUTOS DEPORTIVOS",6.08,10.37,7.47,5.6,416,24,0,"7"
"2810","PORSCHE","911","CARRERA 2 COUPÉ 2PTS 3.6L 6CIL 345HP PDK",2011,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,48,2,"?"
"2811","PORSCHE","911","CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 345HP PDK",2011,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,48,2,"?"
"2812","PORSCHE","911","CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 350HP PDK",2012,"PDK","Gasolina",6,350,3.6,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,48,2,"?"
"2813","PORSCHE","911","CARRERA 2 COUPE 2PTS 3.6L 6CIL 350HP PDK",2012,"PDK","Gasolina",6,350,3.6,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,48,2,"?"
"2814","PORSCHE","911","TURBO COUPÉ 2PTS 3.8L 6CIL 500HP MAN",2011,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.05,9.06,6.79,343,33,1,"?"
"2815","PORSCHE","911","TURBO CABRIOLET 2PTS 3.8L 6CIL 500HP MAN",2011,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.05,9.06,6.79,343,33,1,"?"
"2816","PORSCHE","911","TURBO COUPÉ 2PTS 3.8L 6CIL 500HP PDK QUATTRO",2011,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2817","PORSCHE","911","TURBO CABRIOLET 2PTS 3.8L 6CIL 500HP PDK QUATTRO",2011,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2818","PORSCHE","911","TURBO COUPÉ 2PTS 3.8L 6CIL 530HP PDK QUATTRO",2011,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2819","PORSCHE","911","TURBO CABRIOLET 2PTS 3.8L 6CIL 530HP PDK QUATTRO",2011,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2820","PORSCHE","911","CABRIOLET 4X4 2PTS 3.8L 6CIL 500HP MAN TURBO",2012,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.05,9.06,6.79,343,33,1,"?"
"2821","PORSCHE","911","CABRIOLET 4X4 2PTS 3.8L 6CIL 500HP PDK QUATTRO TURBO",2012,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2822","PORSCHE","911","CABRIOLET S 4X4 2PTS 3.8L 6CIL 530HP PDK QUATTRO TURBO",2012,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2823","PORSCHE","911","COUPE 4X4 2PTS 3.8L 6CIL 500HP MAN TURBO",2012,"MAN","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.05,9.06,6.79,343,33,1,"?"
"2824","PORSCHE","911","COUPÉ 4X4 2PTS 3.8L 6CIL 500HP PDK QUATTRO TURBO",2012,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2825","PORSCHE","911","COUPÉ S 4X4 2PTS 3.8L 6CIL 530HP PDK QUATTRO TURBO",2012,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.06,12.35,9.12,6.84,341,52,2,"?"
"2826","PORSCHE","911","TURBO COUPÉ 2PTS 3.8L 6CIL 500HP PDK QUATTRO",2013,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.05,12.75,9.18,6.89,339,52,2,"?"
"2827","PORSCHE","911","TURBO CABRIOLET 2PTS 3.8L 6CIL 500HP PDK QUATTRO",2013,"PDK","Gasolina",6,500,3.8,"AUTOS DEPORTIVOS",6.05,12.75,9.18,6.89,339,52,2,"?"
"2828","PORSCHE","911","TURBO S COUPÉ 2PTS 3.8L 6CIL 530HP PDK QUATTRO",2013,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.05,12.75,9.18,6.89,339,52,2,"?"
"2829","PORSCHE","911","TURBO S CABRIOLET 2PTS 3.8L 6CIL 530HP PDK QUATTRO",2013,"PDK","Gasolina",6,530,3.8,"AUTOS DEPORTIVOS",6.05,12.75,9.18,6.89,339,52,2,"?"
"2830","PORSCHE","911","CARRERA 4 COUPÉ 2PTS 3.6L 6CIL 345HP MAN",2011,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.02,11.91,8.99,6.75,346,13,1,"?"
"2831","PORSCHE","911","CARRERA 4 CABRIOLET 2PTS 3.6L 6CIL 345HP MAN",2011,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.02,11.91,8.99,6.75,346,13,1,"?"
"2832","PORSCHE","911","CARRERA 4 CABRIOLET 4X4 2PTS 3.6L 6CIL 345HP MAN",2012,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.02,11.91,8.99,6.75,346,13,1,"?"
"2833","PORSCHE","911","CARRERA 4 COUPE 4X4 2PTS 3.6L 6CIL 345HP MAN",2012,"MAN","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",6.02,11.91,8.99,6.75,346,13,1,"?"
"2834","DODGE","VIPER","SRT COUPE 2PTS 8.4L 10CIL 640HP MAN",2014,"MAN","Gasolina",10,640,8.4,"AUTOS DEPORTIVOS",5.9,10.52,7.35,5.51,423,11,0,"9"
"2835","DODGE","VIPER","SRT GTS COUPE 2PTS 8.4L 10CIL 640HP MAN",2014,"MAN","Gasolina",10,640,8.4,"AUTOS DEPORTIVOS",5.9,10.52,7.35,5.51,423,11,0,"9"
"2836","DODGE","VIPER","GTS 2PTAS 8.4L 10CIL 645HP MAN",2016,"MAN","Gasolina",10,645,8.4,"AUTOS DEPORTIVOS",5.9,10.52,7.35,5.51,423,5,0,"9"
"2837","PORSCHE","911","CARRERA 4 COUPÉ 2PTS 3.6L 6CIL 345HP PDK",2011,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",5.75,11.63,8.67,6.5,358,48,1,"?"
"2838","PORSCHE","911","CARRERA 4 CABRIOLET 2PTS 3.6L 6CIL 345HP PDK",2011,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",5.75,11.63,8.67,6.5,358,48,1,"?"
"2839","PORSCHE","911","CARRERA 4 CABRIOLET 4X4 2PTS 3.6L 6CIL 345HP PDK",2012,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",5.75,11.63,8.67,6.5,358,48,1,"?"
"2840","PORSCHE","911","CARRERA 4 COUPE 4X4 2PTS 3.6L 6CIL 345HP PDK",2012,"PDK","Gasolina",6,345,3.6,"AUTOS DEPORTIVOS",5.75,11.63,8.67,6.5,358,48,1,"?"
"2841","LAMBORGHINI","HURACAN","2PTS 5.2L 10CIL 610HP AUT",2015,"AUT","Gasolina",10,610,5.2,"AUTOS DEPORTIVOS",5.6,10.6,8.32,6.24,374,32,0,"?"
"2842","PORSCHE","911","GT2 RS 2PTS 3.6L 6CIL 523HP MAN BITURBO",2011,"MAN","Gasolina",6,620,3.6,"AUTOS DEPORTIVOS",5.59,11.49,7.27,5.45,428,41,0,"6"
"2843","PORSCHE","911","GT2 RS 2PTS 3.6L 6CIL 620HP MAN BITURBO",2012,"MAN","Gasolina",6,620,3.6,"AUTOS DEPORTIVOS",5.59,11.49,7.27,5.45,428,41,0,"6"
"2844","JAGUAR","XKR","SC 2PTS 5.0L 8CIL 510HP AUT",2011,"AUT","Gasolina",8,510,5,"AUTOS DEPORTIVOS",5.3,11.62,7.02,5.26,443,16,0,"8"
"2845","JAGUAR","XKR","SC 2PTS 5.0L 8CIL 510HP AUT",2012,"AUT","Gasolina",8,510,5,"AUTOS DEPORTIVOS",5.3,11.62,8.23,6.17,378,16,0,"?"
"2846","JAGUAR","XKR","SC 2PTS 5.0L 8CIL 510HP AUT",2013,"AUT","Gasolina",8,510,5,"AUTOS DEPORTIVOS",5.3,11.62,8.23,6.17,378,16,0,"?"
"2847","PORSCHE","911","GT3 2PTS 3.8L 6CIL 475HP PDK",2014,"PDK","Gasolina",6,475,3.8,"AUTOS DEPORTIVOS",5.29,11.24,8.15,6.11,382,17,0,"?"
"2848","AUDI","A5","SPORTBACK 4X4 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO",2012,"S TRONIC","Gasolina",6,333,3,"AUTOS DEPORTIVOS",5.13,10.2,7.79,5.84,399,54,0,"?"
"2849","PORSCHE","911","GT3 2PTS 3.8L 6CIL 435HP MAN",2011,"MAN","Gasolina",6,435,3.8,"AUTOS DEPORTIVOS",5.05,11.24,7.9,5.93,393,22,0,"?"
"2850","PORSCHE","911","GT3 2PTS 3.8L 6CIL 450HP MAN",2011,"MAN","Gasolina",6,450,3.8,"AUTOS DEPORTIVOS",5.05,11.24,7.9,5.93,393,22,0,"?"
"2851","PORSCHE","911","GT3 2PTS 3.8L 6CIL 450HP MAN",2012,"MAN","Gasolina",6,450,3.8,"AUTOS DEPORTIVOS",5.05,11.24,7.9,5.93,393,22,0,"?"
"2852","LAMBORGHINI","GALLARDO","COUPE 2WD 2PTS 5.2L 10CIL 550HP MAN",2013,"MAN","Gasolina",10,550,5.2,"AUTOS DEPORTIVOS",5,10.9,7.79,5.84,399,30,0,"?"
"2853","LAMBORGHINI","140 GALLARDO","COUPÉ 2PTS 5.2L 10CIL 560HP MAN",2011,"MAN","Gasolina",10,560,5.2,"AUTOS DEPORTIVOS",4.8,10.4,7.5,5.62,415,40,0,"?"
"2854","LAMBORGHINI","140 GALLARDO","SPYDER 2PTS 5.2L 10CIL 560HP MAN",2011,"MAN","Gasolina",10,560,5.2,"AUTOS DEPORTIVOS",4.8,10.3,7.48,5.61,416,40,0,"?"
"2855","LAMBORGHINI","GALLARDO","COUPE 2PTS 5.2L 10CIL 560HP MAN",2013,"MAN","Gasolina",10,560,5.2,"AUTOS DEPORTIVOS",4.8,10.4,7.5,5.62,415,40,0,"?"
"2856","LAMBORGHINI","GALLARDO","SPYDER 2PTS 5.2L 10CIL 560HP MAN",2013,"MAN","Gasolina",10,560,5.2,"AUTOS DEPORTIVOS",4.8,10.3,7.48,5.61,416,40,0,"?"
"2857","LAMBORGHINI","GALLARDO","SUPERLEGGERA 2PTS 5.2L 10CIL 570HP MAN",2013,"MAN","Gasolina",10,570,5.2,"AUTOS DEPORTIVOS",4.8,10.4,7.5,5.62,415,50,0,"?"
"2858","MERCEDES","SLR","2PTS 5.5L 8CIL 617HP AUT",2011,"AUT","Gasolina",8,617,5.5,"AUTOS DEPORTIVOS",4.5,9.43,7.02,5.26,443,62,0,"?"
"2859","LAMBORGHINI","AVENTADOR","COUPE 2PTS 6.5L 12CIL 700HP AUT",2013,"AUT","Gasolina",12,700,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2860","LAMBORGHINI","AVENTADOR","ROADSTER 2PTS 6.5L 12CIL 700HP AUT",2013,"AUT","Gasolina",12,700,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2861","LAMBORGHINI","AVENTADOR","COUPE 2PTS 6.5L 12CIL 700HP AUT",2016,"AUT","Gasolina",12,700,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2862","LAMBORGHINI","AVENTADOR","ROADSTER 2PTS 6.5L 12CIL 700HP AUT",2016,"AUT","Gasolina",12,700,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2863","LAMBORGHINI","AVENTADOR","SV COUPE 2PTS 6.5L 12CIL 700HP AUT",2016,"AUT","Gasolina",12,750,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2864","LAMBORGHINI","AVENTADOR","SV ROADSTER 2PTS 6.5L 12CIL 700HP AUT",2016,"AUT","Gasolina",12,750,6.5,"AUTOS DEPORTIVOS",4,9.3,6.47,4.85,480,20,0,"?"
"2865","LAMBORGHINI","AVENTADOR","2PTS 6.5L 12CIL 700HP AUT",2012,"AUT","Gasolina",12,700,6.5,"AUTOS DEPORTIVOS",3.7,8.9,6.08,4.56,511,170,0,"?"
"2866","LAMBORGHINI","MURCIELAGO","COUPE 2PTS 6.5L 12CIL 650HP MAN",2013,"MAN","Gasolina",12,650,6.5,"AUTOS DEPORTIVOS",3.1,6.7,5.05,3.79,615,50,0,"?"
"2867","LAMBORGHINI","MURCIELAGO","ROADSTER 2PTS 6.5L 12CIL 650HP MAN",2013,"MAN","Gasolina",12,650,6.5,"AUTOS DEPORTIVOS",3.1,6.7,5.05,3.79,615,50,0,"?"
"2868","LAMBORGHINI","MURCIELAGO","SUPERVELOCE 2PTS 6.5L 12CIL 670HP MAN",2013,"MAN","Gasolina",12,670,6.5,"AUTOS DEPORTIVOS",3.1,7.3,5.16,3.87,603,40,0,"?"
"2869","SMART","FORTWO","MICRO HBRID DRIVE 3PTS 1.0L 3CIL 69HP AUT",2012,"AUT","Gasolina",3,69,1,"AUTOS SUBCOMPACTOS",22.22,25.64,24.83,18.62,125,11,9,"9"
"2870","SMART","FORTWO","MICRO HBRID DRIVE 2/3PTS 1.0L 3CIL 69HP AUT",2013,"AUT","Gasolina",3,69,1,"AUTOS SUBCOMPACTOS",22.22,25.64,24.83,18.62,125,11,9,"9"
"2871","SMART","FORTWO","MICRO HBRIDO DRIVE 3PTS 1.0L 3CIL 69HP AUT",2014,"AUT","Gasolina",3,69,1,"AUTOS SUBCOMPACTOS",22.22,25.64,24.83,18.62,125,11,9,"9"
"2872","MITSUBISHI","MIRAGE","5PTAS 1.2L 3CIL 76HP MAN",2016,"MAN","Gasolina",3,76,1.2,"AUTOS SUBCOMPACTOS",21.15,27.62,23.64,17.73,131,40,9,"6"
"2873","MITSUBISHI","MIRAGE","5PTAS 1.2L 3CIL 76HP CVT",2016,"CVT","Gasolina",3,76,1.2,"AUTOS SUBCOMPACTOS",20.93,27.84,23.56,17.67,132,20,9,"7"
"2874","SMART","FORFOUR","5PTAS 1.0L 3CIL 71HP MAN",2018,"MAN","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",20.83,26.32,24.2,18.15,128,9,9,"9"
"2875","SMART","FORFOUR","5PTAS 1.0L 3CIL 71HP MAN",2016,"MAN","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",20.83,26.32,24.2,18.15,128,9,9,"9"
"2876","DODGE","ATTITUDE","4PTAS 1.2L 3CIL 76HP MAN",2016,"MAN","Gasolina",3,76,1.2,"AUTOS SUBCOMPACTOS",20.64,27.74,23.33,17.5,133,45,9,"5"
"2879","SMART","FORTWO","2PTAS 1.0L 3CIL 71HP MAN",2018,"MAN","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",20.41,27.03,24.15,18.11,129,6,9,"9"
"2880","SMART","FORTWO","CONVERTIBLE 2PTAS 1.0L 3CIL 90HP TURBO AUT",2018,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",20.41,26.32,23.92,17.94,130,14,9,"?"
"2881","SMART","FORTWO","3PTAS 1.0L 3CIL 71HP MAN",2016,"MAN","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",20.41,27.03,24.15,18.11,129,6,9,"9"
"2882","SMART","FORTWO","CONVERTIBLE 2PTAS 0.9L 3CIL 90HP AUT TURBO",2016,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",20.41,26.32,23.92,17.94,130,14,9,"?"
"2883","DODGE","ATTITUDE","4PTAS 1.2L 3CIL 76HP CVT",2016,"CVT","Gasolina",3,76,1.2,"AUTOS SUBCOMPACTOS",20.29,27.15,22.89,17.17,136,45,9,"5"
"2884","SMART","FORTWO","2PTAS 1.0L 3CIL 90HP AUT",2018,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",20,27.78,24.1,18.07,129,30,9,"?"
"2885","SMART","FORTWO","3PTAS 0.9L 3CIL 90HP AUT TURBO",2016,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",20,27.78,24.1,18.07,129,30,9,"?"
"2886","SMART","FORTWO","CONVERTIBLE 2PTAS 1.0L 3CIL 71HP AUT",2018,"AUT","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",19.61,26.32,23.39,17.54,133,16,9,"?"
"2887","SMART","FORTWO","CONVERTIBLE 2PTAS 1.0L 3CIL 71HP AUT",2016,"AUT","Gasolina",3,71,1,"AUTOS SUBCOMPACTOS",19.61,26.32,23.39,17.54,133,16,9,"?"
"2888","DODGE","i10","HATCHBACK 5PTS 1.1L 4CIL 66HP MAN",2012,"MAN","Gasolina",4,66,1.1,"AUTOS SUBCOMPACTOS",19.27,25.13,21.53,16.15,144,40,9,"6"
"2889","DODGE","i10","HATCHBACK 5PTS 1.1L 4CIL 66HP MAN",2013,"MAN","Gasolina",4,66,1.1,"AUTOS SUBCOMPACTOS",19.27,25.13,21.53,16.15,144,40,9,"6"
"2890","SMART","FORFOUR","5PTAS 1.0L 3CIL 90HP TURBO AUT",2018,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",19.23,27.78,23.56,17.67,132,17,9,"?"
"2891","SMART","FORTWO","2PTAS 1.0L 3CIL 109HP TURBO AUT",2018,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",19.23,24.39,22.53,16.89,138,31,9,"?"
"2892","SMART","FORTWO","CONVERTIBLE 2PTAS 1.0L 3CIL 109HP TURBO AUT",2018,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",19.23,23.26,22.14,16.6,140,31,9,"?"
"2893","SMART","FORFOUR","5PTAS 0.9L 3CIL 90HP AUT TURBO",2016,"AUT","Gasolina",3,90,0.9,"AUTOS SUBCOMPACTOS",19.23,27.78,23.56,17.67,132,17,9,"?"
"2894","SMART","FORTWO","BRABUS 3PTAS 0.9L 3CIL 109HP AUT",2016,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",19.23,24.39,22.53,16.89,138,31,9,"?"
"2895","SMART","FORTWO","BRABUS CONVERTIBLE 2PTAS 0.9L 3CIL 109HP AUT",2016,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",19.23,23.26,22.14,16.6,140,31,9,"?"
"2896","CHEVROLET","SPARK","LT 5PTS 1.4L 4CIL 98HP MAN",2016,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.96,28,22.19,16.64,140,8,9,"9"
"2897","CHEVROLET","SPARK","LT 5PTAS 1.4L 4CIL 98HP MAN",2017,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.96,28,23.43,17.57,133,8,9,"9"
"2898","CHEVROLET","SPARK","LT 5PTAS 1.4L 4CIL 98HP MAN",2018,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.96,28,23.43,17.57,133,8,9,"9"
"2899","CHEVROLET","SPARK","LTZ 5PTS 1.4L 4CIL 98HP MAN",2016,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,21.68,16.26,143,7,9,"9"
"2900","CHEVROLET","SPARK","NG 5PTAS 1.4L 4CIL 84HP MAN",2017,"MAN","Gasolina",4,84,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,22.94,17.21,136,7,9,"9"
"2901","CHEVROLET","SPARK","LTZ 5PTAS 1.4L 4CIL 98HP MAN",2017,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,22.94,17.21,136,7,9,"9"
"2902","CHEVROLET","SPARK","ACRTIV 5PTAS 1.4L 4CIL 98HP MAN",2017,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,22.94,17.21,136,7,9,"9"
"2903","CHEVROLET","SPARK","LTZ 5PTAS 1.4L 4CIL 98HP MAN",2018,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,22.94,17.21,136,7,9,"9"
"2904","CHEVROLET","SPARK","ACTIV 5PTAS 1.4L 4CIL 98HP MAN",2018,"MAN","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.55,27.32,22.94,17.21,136,7,9,"9"
"2905","SMART","FORFOUR","5PTAS 1.0L 3CIL 109HP AUT",2018,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",18.52,23.81,21.87,16.4,142,31,9,"?"
"2906","SMART","FORFOUR","BRABUS 5PTAS 0.9L 3CIL 109HP AUT",2016,"AUT","Gasolina",3,109,0.9,"AUTOS SUBCOMPACTOS",18.52,23.81,21.87,16.4,142,31,9,"?"
"2907","CHEVROLET","SPARK","NG 5PTAS 1.4L 4CIL 98HP CVT",2017,"CVT","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.43,28.15,23.08,17.31,135,9,9,"9"
"2908","CHEVROLET","SPARK","LT 5PTAS 1.4L 4CIL 98HP CVT CVT",2018,"CVT","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.43,28.15,23.07,17.31,135,9,9,"9"
"2909","CHEVROLET","SPARK","LTZ 5PTAS 1.4L 4CIL 98HP CVT CVT",2018,"CVT","Gasolina",4,98,1.4,"AUTOS SUBCOMPACTOS",18.43,28.15,23.07,17.31,135,9,9,"9"
"2910","DODGE","ATOS","5PTS 1.1L 4CIL 63HP MAN",2011,"M5","Gasolina",4,63,1.1,"AUTOS SUBCOMPACTOS",18.43,22.8,20.17,15.13,154,20,8,"7"
"2911","DODGE","ATOS","5PTS 1.1L 4CIL 63HP MAN",2012,"MAN","Gasolina",4,63,1.1,"AUTOS SUBCOMPACTOS",18.43,22.8,20.17,15.13,154,20,8,"7"
"2912","DODGE","ATOS","5PTS 1.1L 4CIL 63HP MAN",2013,"MAN","Gasolina",4,63,1.1,"AUTOS SUBCOMPACTOS",18.43,22.8,20.17,15.13,154,20,8,"7"
"2915","CHEVROLET","BEAT","LT 5PTS 1.2L 4CIL 81HP MAN",2018,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",18.05,25.1,20.66,15.5,150,31,9,"6"
"2916","CHEVROLET","BEAT","LTZ 5PTS 1.2L 4CIL 81HP MAN",2018,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",18.05,25.1,20.66,15.5,150,31,9,"6"
"2917","CHEVROLET","BEAT","LS 5PTS 1.2L 4CIL 81HP MAN",2018,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",18.05,25.1,20.66,15.49,150,31,9,"6"
"2918","CHEVROLET","SPARK","CLASSIC LS 5PTS 1.2L 4CIL 81HP MAN",2016,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",17.74,24.81,20.35,15.26,153,64,8,"4"
"2919","CHEVROLET","SPARK","CLASSIC LT 5PTS 1.2L 4CIL 81HP MAN",2016,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",17.74,24.81,20.35,15.26,153,64,8,"4"
"2920","CHEVROLET","SPARK","CLASSIC LTZ 5PTS 1.2L 4CIL 81HP MAN",2016,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",17.74,24.81,20.35,15.26,153,64,8,"4"
"2921","CHEVROLET","SPARK","CLASSIC LS 5PTAS 1.2L 4CIL 81HP MAN",2017,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",17.74,24.81,20.35,15.26,153,74,8,"4"
"2922","CHEVROLET","SPARK","CLASSIC LT 5PTAS 1.2L 4CIL 81HP MAN",2017,"MAN","Gasolina",4,81,1.2,"AUTOS SUBCOMPACTOS",17.74,24.81,20.35,15.26,153,74,8,"4"
